Activity Name,Grade,Subject,Thumbnail,URL
Geometric Shapes,1,math,https://epaath.olenepal.org/images/thumb/math/geometry.png,https://epaath.olenepal.org/start.html?id=matgsn01&lang=en&grade=1
Numbers from 1 to 5,1,math,https://epaath.olenepal.org/images/thumb/math/number1-5-gr-1-01.png,https://epaath.olenepal.org/start.html?id=matnmb01&lang=en&grade=1
Basic Addition,1,math,https://epaath.olenepal.org/images/thumb/math/basic-additionGr-101.png,https://epaath.olenepal.org/start.html?id=matadt01&lang=en&grade=1
Subtraction up to 20,1,math,https://epaath.olenepal.org/images/thumb/math/basic_subtraction_out_thumb_en.png,https://epaath.olenepal.org/start.html?id=matbst01&lang=en&grade=1
One to twenty,1,math,https://epaath.olenepal.org/images/thumb/math/one_twenty.png,https://epaath.olenepal.org/start.html?id=matott01&lang=en&grade=1
Adding Three Numbers,1,math,https://epaath.olenepal.org/images/thumb/math/adding_three_numbers_Gr-1-01.png,https://epaath.olenepal.org/start.html?id=matahn01&lang=en&grade=1
Odd and Even,1,math,https://epaath.olenepal.org/images/thumb/math/odd-and_even.png,https://epaath.olenepal.org/start.html?id=matoen01&lang=en&grade=1
Ordinal numbers,1,math,https://epaath.olenepal.org/images/thumb/math/ordinal_outside_thumb.png,https://epaath.olenepal.org/start.html?id=matonn01&lang=en&grade=1
Adding upto Hundred,1,math,https://epaath.olenepal.org/images/thumb/math/adding_up_to_hudred_GR-1-01.png,https://epaath.olenepal.org/start.html?id=matauh01&lang=en&grade=1
Substracting Two Digit Numbers,1,math,https://epaath.olenepal.org/images/thumb/math/substraction-Gr-1-01_en.png,https://epaath.olenepal.org/start.html?id=matssd01&lang=en&grade=1
Learn 1-50,1,math,https://epaath.olenepal.org/images/thumb/math/one_to_fifty.png,https://epaath.olenepal.org/start.html?id=matnfn01&lang=en&grade=1
Numbers from 50 to 100,1,math,https://epaath.olenepal.org/images/thumb/math/Thumbnail_Math_Gr_1_Numbers50-100_01.png,https://epaath.olenepal.org/start.html?id=matnhn01&lang=en&grade=1
Time,1,math,https://epaath.olenepal.org/images/thumb/math/time1_cover.png,https://epaath.olenepal.org/start.html?id=matntm01&lang=en&grade=1
Measurement,1,math,https://epaath.olenepal.org/images/thumb/math/measurementGr101.png,https://epaath.olenepal.org/start.html?id=matmea01&lang=en&grade=1
Pictograph,1,math,https://epaath.olenepal.org/images/thumb/math/pictograph-Gr-101.png,https://epaath.olenepal.org/start.html?id=matden01&lang=en&grade=1
Multiplication,1,math,https://epaath.olenepal.org/images/thumb/math/multiplication_gr-101.png,https://epaath.olenepal.org/start.html?id=matmun01&lang=en&grade=1
Multiplication Table,1,math,https://epaath.olenepal.org/images/thumb/math/multiplication-table-gr-1_01.png,https://epaath.olenepal.org/start.html?id=matmut01&lang=en&grade=1
Basic Division,1,math,https://epaath.olenepal.org/images/thumb/math/basic-divisionGr-101.png,https://epaath.olenepal.org/start.html?id=matdiv01&lang=en&grade=1
Capacity,1,math,https://epaath.olenepal.org/images/thumb/math/capacityGr101.png,https://epaath.olenepal.org/start.html?id=matcpt01&lang=en&grade=1
Fraction,1,math,https://epaath.olenepal.org/images/thumb/math/fraction_gr101.png,https://epaath.olenepal.org/start.html?id=matfac01&lang=en&grade=1
ज्यामितीय आकारहरू,1,math,https://epaath.olenepal.org/images/thumb/math/geometry.png,https://epaath.olenepal.org/start.html?id=matgsn01&lang=np&grade=1
१ देखि ५ सम्मका सङ्ख्याहरू,1,math,https://epaath.olenepal.org/images/thumb/math/number1-5-gr-1-01.png,https://epaath.olenepal.org/start.html?id=matnmb01&lang=np&grade=1
सरल जोड,1,math,https://epaath.olenepal.org/images/thumb/math/basic-additionGr-101.png,https://epaath.olenepal.org/start.html?id=matadt01&lang=np&grade=1
२० सम्मका सङ्ख्याको घटाउ,1,math,https://epaath.olenepal.org/images/thumb/math/basic_subtraction_out_thumb_en.png,https://epaath.olenepal.org/start.html?id=matbst01&lang=np&grade=1
एक देखि बिससम्म,1,math,https://epaath.olenepal.org/images/thumb/math/one_twenty.png,https://epaath.olenepal.org/start.html?id=matott01&lang=np&grade=1
तीनओटा सङ्ख्‍याहरूको जोड,1,math,https://epaath.olenepal.org/images/thumb/math/adding_three_numbers_Gr-1-01.png,https://epaath.olenepal.org/start.html?id=matahn01&lang=np&grade=1
